,tax_year,academic_year,YAG,sex,subject_name,provider_name,earnings_median,earnings_LQ,earnings_median,earnings_UQ
217,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Royal Agricultural University,34300,25600,34300,43400
218,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Sheffield Hallam University,35800,27000,35800,48900
219,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Southampton Solent University,37600,28100,37600,55100
220,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The Arts University Bournemouth,23000,8300,23000,26200
221,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The Manchester Metropolitan University,26300,21200,26300,31400
222,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The Nottingham Trent University,41100,29900,41100,54000
223,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The Robert Gordon University,26800,22200,26800,37600
224,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Aberdeen,45600,29200,45600,61000
225,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Bath,33200,27000,33200,39400
226,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Birmingham,35800,25600,35800,40500
227,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Bolton,30300,28100,30300,48900
228,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Brighton,36400,27700,36400,47800
229,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Cambridge,35000,25600,35000,49300
230,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Central Lancashire,32800,26300,32800,45300
231,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Dundee,26600,22600,26600,29900
232,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of East London,23400,12000,23400,29900
233,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Edinburgh,27400,23700,27400,32500
234,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Essex,c,c,c,c
235,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Glasgow,c,c,c,c
236,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Greenwich,38000,23400,38000,53300
237,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Huddersfield,27200,19300,27200,30300
238,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Kent,29900,26300,29900,35400
239,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Leeds,c,c,c,c
240,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Lincoln,29700,21900,29700,34700
241,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Liverpool,27700,25000,27700,32800
242,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Manchester,33800,24800,33800,40500
243,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Northampton,30700,23400,30700,40200
244,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Portsmouth,30700,23700,30700,43100
245,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Reading,46000,36900,46000,56200
246,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Salford,37200,27000,37200,47800
247,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Sheffield,31000,27000,31000,38000
248,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Southampton,c,c,c,c
249,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Strathclyde,28500,25200,28500,32500
250,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Sussex,c,c,c,c
251,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of West London,38300,23700,38300,52900
252,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Westminster,39400,26300,39400,60200
